date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:40:42	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Aug%202024%2000:40:42%20GMT	http://playdoge.io/assets/images/svg-icons/telegram.svg	C:/game/playdoge.io/assets/images/svg-icons/telegram.svg	(from https://playdoge.io/en)
05:40:42	6247/6247	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22785a1a09ab7cab311abf38a94ed2f797%22	https://playdoge.io/assets/images/svg-icons/x.svg	C:/game/playdoge.io/assets/images/svg-icons/x.svg	(from https://playdoge.io/en)
05:40:42	922/922	---M--	200	added ('OK')	image/svg+xml	etag:%22c94914a21b5248663294385e416f1ae4%22	https://playdoge.io/assets/images/svg-icons/telegram.svg	C:/game/playdoge.io/assets/images/svg-icons/telegram.svg	(from https://playdoge.io/en)
05:40:43	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Aug%202024%2000:40:43%20GMT	http://playdoge.io/assets/images/flags/en.svg	C:/game/playdoge.io/assets/images/flags/en.svg	(from https://playdoge.io/en)
05:40:43	888/888	---M--	200	added ('OK')	image/svg+xml	etag:%22fe2cfc0a2097e53cf3b9effe55af2f9e%22	https://playdoge.io/assets/images/flags/en.svg	C:/game/playdoge.io/assets/images/flags/en.svg	(from https://playdoge.io/en)
05:40:43	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Aug%202024%2000:40:44%20GMT	http://playdoge.io/assets/images/svg-icons/down-arrow.svg	C:/game/playdoge.io/assets/images/svg-icons/down-arrow.svg	(from https://playdoge.io/en)
05:40:43	403/403	---M--	200	added ('OK')	image/svg+xml	etag:%22d12d44b2a419fea4a00dae163573a4fa%22	https://playdoge.io/assets/images/svg-icons/down-arrow.svg	C:/game/playdoge.io/assets/images/svg-icons/down-arrow.svg	(from https://playdoge.io/en)
05:40:43	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Aug%202024%2000:40:44%20GMT	http://playdoge.io/assets/images/svg-icons/whitepaper.svg	C:/game/playdoge.io/assets/images/svg-icons/whitepaper.svg	(from https://playdoge.io/en)
05:40:44	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Aug%202024%2000:40:45%20GMT	http://playdoge.io/assets/images/svg-icons/download.svg	C:/game/playdoge.io/assets/images/svg-icons/download.svg	(from https://playdoge.io/en)
05:40:44	2156/2156	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225b660e6f0d7da89b2fddfba91d3725b4%22	https://playdoge.io/assets/images/svg-icons/whitepaper.svg	C:/game/playdoge.io/assets/images/svg-icons/whitepaper.svg	(from https://playdoge.io/en)
05:40:45	950/950	---M--	200	added ('OK')	image/svg+xml	etag:%22209cbf3db3998ac6ea85666988c90c25%22	https://playdoge.io/assets/images/svg-icons/download.svg	C:/game/playdoge.io/assets/images/svg-icons/download.svg	(from https://playdoge.io/en)
